Part,Chapter,Article,Provision
PART 1: THE UNION AND ITS TERRITORY,,Article 1,Name and territory of the Union.
PART 1: THE UNION AND ITS TERRITORY,,Article 2,Admission or establishment of new States.
PART 1: THE UNION AND ITS TERRITORY,,Article 2A,[Omitted.]
PART 1: THE UNION AND ITS TERRITORY,,Article 3,"Formation of new States and alteration of areas, boundaries or names of existing States."
PART 1: THE UNION AND ITS TERRITORY,,Article 4,"Laws made under articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters."
PART 2: CITIZENSHIP,,Article 4,Citizenship at the commencement of the Constitution.
PART 2: CITIZENSHIP,,Article 5,Rights of citizenship of certain persons who have migrated to India from Pakistan.
PART 2: CITIZENSHIP,,Article 6,Rights of citizenship of certain migrants to Pakistan.
PART 2: CITIZENSHIP,,Article 7,Rights of citizenship of certain persons of Indian origin residing outside India.
PART 2: CITIZENSHIP,,Article 8,Persons voluntarily acquiring citizenship of a foreign State not to be citizens.
PART 2: CITIZENSHIP,,Article 9,Continuance of the rights of citizenship.
PART 2: CITIZENSHIP,,Article 10,Parliament to regulate the right of citizenship by law.
PART 3: FUNDAMENTAL RIGHTS,,Article 12,Definition.
PART 3: FUNDAMENTAL RIGHTS,,Article 13,Laws inconsistent with or in derogation of the fundamental rights.
PART 3: FUNDAMENTAL RIGHTS,,Article 14,Equality before law.
PART 3: FUNDAMENTAL RIGHTS,,Article 15,"Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth."
PART 3: FUNDAMENTAL RIGHTS,,Article 16,Equality of opportunity in matters of public employment.
PART 3: FUNDAMENTAL RIGHTS,,Article 17,Abolition of Untouchability.
PART 3: FUNDAMENTAL RIGHTS,,Article 18,Abolition of titles.
PART 3: FUNDAMENTAL RIGHTS,,Article 19,"Protection of certain rights regarding freedom of speech, etc."
PART 3: FUNDAMENTAL RIGHTS,,Article 20,Protection in respect of conviction for offences.
PART 3: FUNDAMENTAL RIGHTS,,Article 21,Protection of life and personal liberty.
PART 3: FUNDAMENTAL RIGHTS,,Article 21A,Right to education.
PART 3: FUNDAMENTAL RIGHTS,,Article 22,Protection against arrest and detention in certain cases.
PART 3: FUNDAMENTAL RIGHTS,,Article 23,Prohibition of traffic in human beings and forced labour.
PART 3: FUNDAMENTAL RIGHTS,,Article 24,"Prohibition of employment of children in factories, etc."
PART 3: FUNDAMENTAL RIGHTS,,Article 25,"Freedom of conscience and free profession, practice and propagation of religion."
PART 3: FUNDAMENTAL RIGHTS,,Article 26,Freedom to manage religious affairs.
PART 3: FUNDAMENTAL RIGHTS,,Article 27,Freedom as to payment of taxes for promotion of any particular religion.
PART 3: FUNDAMENTAL RIGHTS,,Article 28,Freedom as to attendance at religious instruction or religious worship in certain educational institutions.
PART 3: FUNDAMENTAL RIGHTS,,Article 29,Protection of interests of minorities.
PART 3: FUNDAMENTAL RIGHTS,,Article 30,Right of minorities to establish and administer educational institutions.
PART 3: FUNDAMENTAL RIGHTS,,Article 31,[Omitted.]
PART 3: FUNDAMENTAL RIGHTS,,Article 31A,"Saving of Laws providing for the acquisition of estates, etc."
PART 3: FUNDAMENTAL RIGHTS,,Article 31B,Validation of certain Acts and Regulations.
PART 3: FUNDAMENTAL RIGHTS,,Article 31C,Saving of laws giving effect to certain directive principles.
PART 3: FUNDAMENTAL RIGHTS,,Article 31D,[Omitted.]
PART 3: FUNDAMENTAL RIGHTS,,Article 32,Remedies for enforcement of rights conferred by this Part.
PART 3: FUNDAMENTAL RIGHTS,,Article 32A,[Omitted.]
PART 3: FUNDAMENTAL RIGHTS,,Article 33,"Power of Parliament to modify the rights conferred by this Part in their application to Forces, etc."
PART 3: FUNDAMENTAL RIGHTS,,Article 34,Restriction on rights conferred by this Part while martial law is in force in any area.
PART 3: FUNDAMENTAL RIGHTS,,Article 35,Legislation to give effect to the provisions of this Part.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 36,Definition.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 37,Application of the principles contained in this Part.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 38,State to secure a social order for the promotion of welfare of the people.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 39,Certain principles of policy to be followed by the State.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 39A,Equal justice and free legal aid.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 40,Organisation of village panchayats.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 41,"Right to work, to education and to public assistance in certain cases."
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 42,Provision for just and humane conditions of work and maternity relief.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 43,"Living wage, etc., for workers."
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 43A,Participation of workers in management of industries.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 43B,Promotion of co-operative societies.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 44,Uniform civil code for the citizens.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 45,Provision for early childhood care and education to children below the age of six years.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 46,"Promotion of educational and economic interests of Scheduled Castes, Scheduled Tribes and other weaker sections."
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 47,Duty of the State to raise the level of nutrition and the standard of living and to improve public health
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 48,Organisation of agriculture and animal husbandry.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 48A,Protection and improvement of environment and safeguarding of forests and wild life.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 49,Protection of monuments and places and objects of national importance.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 50,Separation of judiciary from executive.
PART 4: DIRECTIVE PRINCIPLES OF STATE POLICY,,Article 51,Promotion of international peace and security.
PART 4A: FUNDAMENTAL DUTIES,,Article 51A,Fundamental duties.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 52,The President of India.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 53,Executive power of the Union.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 54,Election of President.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 55,Manner of election of President.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 56,Term of office of President.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 57,Eligibility for re-election.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 58,Qualifications for election as President.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 59,Conditions of President’s office.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 60,Oath or affirmation by the President.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 61,Procedure for impeachment of the President.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 62,Time of holding election to fill vacancy in the office of President and the term of office of person elected to fill casual vacancy.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 63,The Vice-President of India.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 64,The Vice-President to be ex officio Chairman of the Council of States.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 65,"The Vice-President to act as President or to discharge his functions during casual vacancies in the office, or during the absence, of President."
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 66,Election of Vice-President.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 67,Term of office of Vice-President.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 68,Time of holding election to fill vacancy in the office of Vice-President and the term of office of person elected to fill casual vacancy.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 69,Oath or affirmation by the Vice-President.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 70,Discharge of President’s functions in other contingencies.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 71,"Matters relating to, or connected with, the election of a President or Vice-President."
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 72,"Power of President to grant pardons, etc., and to suspend, remit or commute sentences in certain cases."
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 73,Extent of executive power of the Union.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 74,Council of Ministers to aid and advise President.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 75,Other provisions as to Ministers.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 76,Attorney-General for India.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 77,Conduct of business of the Government of India.
PART 5: THE UNION,CHAPTER 1-THE EXECUTIVE,Article 78,"Duties of Prime Minister as respects the furnishing of information to the President, etc."
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 79,Constitution of Parliament.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 80,Composition of the Council of States.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 81,Composition of the House of the People.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 82,Readjustment after each census.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 83,Duration of Houses of Parliament.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 84,Qualification for membership of Parliament.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 85,"Sessions of Parliament, prorogation and dissolution."
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 86,Right of President to address and send messages to Houses.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 87,Special address by the President.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 88,Rights of Ministers and Attorney-General as respects Houses.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 89,The Chairman and Deputy Chairman of the Council of States.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 90,"Vacation and resignation of, and removal from, the office of Deputy Chairman."
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 91,"Power of the Deputy Chairman or other person to perform the duties of the office of, or to act as, Chairman."
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 92,The Chairman or the Deputy Chairman not to preside while a resolution for his removal from office is under consideration.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 93,The Speaker and Deputy Speaker of the House of the People.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 94,"Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker."
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 95,"Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker."
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 96,The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 97,Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 98,Secretariat of Parliament.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 99,Oath or affirmation by members.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 100,"Voting in Houses, power of Houses to act notwithstanding vacancies and quorum."
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 101,Vacation of seats.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 102,Disqualifications for membership.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 103,Decision on questions as to disqualifications of members.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 104,Penalty for sitting and voting before making oath or affirmation under article 99 or when not qualified or when disqualified.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 105,"Powers, privileges, etc., of the Houses of Parliament and of the members and committees thereof."
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 106,Salaries and allowances of members.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 107,Provisions as to introduction and passing of Bills.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 108,Joint sitting of both Houses in certain cases.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 109,Special procedure in respect of Money Bills.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 110,Definition of “Money Bills”.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 111,Assent to Bills.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 112,Annual financial statement.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 113,Procedure in Parliament with respect to estimates.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 114,Appropriation Bills.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 115,"Supplementary, additional or excess grants."
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 116,"Votes on account, votes of credit and exceptional grants."
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 117,Special provisions as to financial Bills.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 118,Rules of procedure.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 119,Regulation by law of procedure in Parliament in relation to financial business.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 120,Language to be used in Parliament.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 121,Restriction on discussion in Parliament.
PART 5: THE UNION,CHAPTER 2-PARLIAMENT,Article 122,Courts not to inquire into proceedings of Parliament.
PART 5: THE UNION,CHAPTER-3 LEGISLATIVE POWERS OF THE PRESIDENT,Article 123,Power of President to promulgate Ordinances during recess of Parliament.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 124,Establishment and constitution of Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 124A,National Judicial Appointments Commission.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 124B,Functions of Commission.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 124C,Power of Parliament to make law.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 125,"Salaries, etc., of Judges."
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 126,Appointment of acting Chief Justice.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 127,Appointment of ad hoc judges.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 128,Attendance of retired Judges at sittings of the Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 129,Supreme Court to be a court of record.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 130,Seat of Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 131,Original jurisdiction of the Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 131A,[Omitted.]
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 132,Appellate jurisdiction of Supreme Court in appeals from High Courts in certain cases.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 133,Appellate jurisdiction of Supreme Court in appeals from High Courts in regard to civil matters.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 134,Appellate jurisdiction of Supreme Court in regard to criminal matters.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 134A,Certificate for appeal to the Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 135,Jurisdiction and powers of the Federal Court under existing law to be exercisable by the Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 136,Special leave to appeal by the Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 137,Review of judgments or orders by the Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 138,Enlargement of the jurisdiction of the Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 139,Conferment on the Supreme Court of powers to issue certain writs.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 139A,Transfer of certain cases.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 140,Ancillary powers of Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 141,Law declared by Supreme Court to be binding on all courts.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 142,"Enforcement of decrees and orders of Supreme Court and orders as to discovery, etc."
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 143,Power of President to consult Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 144,Civil and judicial authorities to act in aid of the Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 144A,[Omitted.]
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 145,"Rules of Court, etc."
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 146,Officers and servants and the expenses of the Supreme Court.
PART 5: THE UNION,CHAPTER-4 THE UNION JUDICIARY,Article 147,Interpretation.
PART 5: THE UNION,CHAPTER-5: COMPTROLLER AND AUDITOR GENERAL OF INDIA,Article 148,Comptroller and Auditor-General of India.
PART 5: THE UNION,CHAPTER-5: COMPTROLLER AND AUDITOR GENERAL OF INDIA,Article 149,Duties and powers of the Comptroller and Auditor-General.
PART 5: THE UNION,CHAPTER-5: COMPTROLLER AND AUDITOR GENERAL OF INDIA,Article 150,Form of accounts of the Union and of the States.
PART 5: THE UNION,CHAPTER-5: COMPTROLLER AND AUDITOR GENERAL OF INDIA,Article 151,Audit reports.
PART 6: THE STATES,CHAPTER-1: GENERAL,Article 152,Definition.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 153,Governors of States.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 154,Executive power of State.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 155,Appointment of Governor.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 156,Term of office of Governor.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 157,Qualifications for appointment as Governor.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 158,Conditions of Governor’s office.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 159,Oath or affirmation by the Governor.
PART 6: THE STATES,CHAPTER-2: THE EXECUTIVE,Article 160,Discharge of the functions of the Governor in certain contingencies.
